,Players,Agents Played,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths,Cluthes Won,Clutches Played
15,Twisten VIT,Jett Raze,104,1.17,263.8,1.36,0.68,171.5,0.95,0.15,0.17,0.14,0.23,0.17,29,99,73,16,18,15,2,12
16,Less LOUD,Viper Killjoy,380,1.15,227.4,1.22,0.75,159.1,0.82,0.25,0.11,0.06,0.28,0.2,27,312,255,95,42,24,12,60
17,Derke FNC,Jett Raze,307,1.14,256.6,1.25,0.72,168.9,0.89,0.19,0.22,0.2,0.25,0.13,32,274,220,58,68,60,2,15
18,nukkye GIA,Breach Sage,97,1.13,194.8,1.17,0.81,132.3,0.7,0.46,0.06,0.05,0.29,,20,68,58,45,6,5,0,7
19,Xeppaa C9,Skye Sova,89,1.12,229.6,1.24,0.79,138.1,0.87,0.28,0.1,0.08,0.23,0.5,21,77,62,25,9,7,3,6
20,foxz TLN,Skye Kayo Fade,157,1.12,217.1,1.13,0.72,146.1,0.74,0.31,0.08,0.07,0.23,0.04,21,116,103,49,12,11,1,26
21,cNed NAVI,Jett Raze,182,1.12,239.4,1.17,0.73,156.6,0.8,0.2,0.15,0.11,0.22,0.18,24,146,125,37,27,20,2,11
22,ardiis NRG,Sage Jett Killjoy,184,1.12,228.5,1.14,0.77,153.6,0.77,0.27,0.2,0.12,0.2,0.05,29,142,125,49,36,22,1,20
23,s0m NRG,Viper Omen Astra,184,1.12,212.0,1.14,0.81,138.3,0.73,0.45,0.08,0.1,0.29,0.23,24,135,118,82,15,18,3,13
24,nAts TL,Viper Cypher,41,1.12,258.0,1.33,0.78,154.6,0.98,0.32,0.0,0.12,0.35,,26,40,30,13,0,5,0,8
25,aspas LOUD,Jett,380,1.12,224.3,1.18,0.72,142.7,0.8,0.17,0.17,0.11,0.26,0.13,30,305,258,65,63,42,6,48
26,yay C9,Chamber Sage Jett,89,1.11,201.6,1.24,0.71,127.4,0.75,0.15,0.15,0.12,0.29,0.08,19,67,54,13,13,11,1,13
27,Chronicle FNC,Breach Raze Kayo,307,1.11,202.7,1.1,0.76,131.1,0.71,0.44,0.08,0.08,0.24,0.19,28,218,198,135,25,24,4,21
28,qRaxs FUT,Kayo Fade,107,1.11,212.6,1.13,0.77,144.5,0.74,0.47,0.05,0.01,0.22,0.63,25,79,70,50,5,1,5,8
29,qw1 FUT,Neon Jett,107,1.11,259.6,1.21,0.71,159.3,0.92,0.19,0.2,0.16,0.21,0.21,31,98,81,20,21,17,3,14
30,frz MIBR,Killjoy Cypher,45,1.1,223.0,1.16,0.78,148.4,0.82,0.29,0.11,0.04,0.34,,19,37,32,13,5,2,0,8
31,MOLSI VIT,Raze Kayo Fade,104,1.1,234.4,1.22,0.87,147.2,0.86,0.51,0.07,0.05,0.25,,27,89,73,53,7,5,0,9
32,kiNgg LEV,Kayo Viper Breach,125,1.1,211.3,1.16,0.75,147.9,0.76,0.42,0.11,0.08,0.29,0.38,27,95,82,52,14,10,6,16
33,Alfajer FNC,Killjoy Cypher,307,1.09,201.1,1.18,0.77,138.2,0.72,0.21,0.07,0.06,0.27,0.14,21,221,187,66,21,18,6,44
34,Emman RRQ,Reyna Kayo,40,1.09,233.0,1.1,0.83,159.7,0.8,0.45,0.1,0.08,0.35,,21,32,29,18,4,3,0,5
35,keloqz TH,Jett,42,1.08,251.5,1.15,0.76,155.9,0.9,0.12,0.24,0.17,0.36,,23,38,33,5,10,7,0,6
36,murizzz MIBR,Breach Kayo,45,1.08,199.5,1.03,0.71,132.5,0.71,0.58,0.11,0.11,0.34,0.33,17,32,31,26,5,5,1,3
